Season,Week,Team_won,FinalScore_won,Team_lost,FinalScore_lost,WinType,PointDiff
3,1,NOR,30,CHI,13,HOME,17
3,1,TIJ,26,POR,3,HOME,23
3,1,SA,23,KC,6,AWAY,17
3,2,CHI,16,POR,13,AWAY,3
3,2,SA,11,NOR,6,HOME,5
3,2,KC,28,TIJ,9,HOME,19
3,3,CHI,22,KC,20,AWAY,2
3,3,POR,16,NOR,14,HOME,2
3,3,TIJ,23,SA,10,HOME,13
3,4,KC,13,SA,12,AWAY,1
3,4,CHI,24,POR,14,HOME,10
3,4,NOR,19,TIJ,12,HOME,7
3,5,TIJ,17,CHI,0,HOME,17
3,5,KC,19,NOR,6,HOME,13
3,5,SA,19,POR,7,HOME,12
3,6,TIJ,19,KC,16,HOME,3
3,6,POR,36,NOR,14,AWAY,22
3,6,CHI,24,SA,21,HOME,3
3,7,POR,10,KC,3,HOME,7
3,7,CHI,24,NOR,17,HOME,7
3,7,SA,14,TIJ,13,HOME,1
3,8,KC,17,CHI,9,AWAY,8
3,8,NOR,23,SA,10,HOME,13
3,8,POR,31,TIJ,3,HOME,28
3,9,NOR,23,CHI,6,HOME,17
3,9,SA,9,POR,7,AWAY,2
3,9,KC,50,TIJ,19,HOME,31
3,10,SA,24,KC,16,HOME,8
3,10,TIJ,27,NOR,17,HOME,10
3,10,CHI,27,POR,7,HOME,20
3,11,CHI,24,NOR,19,HOME,5
3,11,KC,21,POR,14,HOME,7
3,11,SA,28,TIJ,0,HOME,28
3,12,CHI,23,SA,16,AWAY,7
3,12,KC,21,TIJ,16,AWAY,5
3,12,NOR,23,POR,12,HOME,11
3,13,CHI,17,POR,3,AWAY,14
3,13,NOR,28,KC,14,HOME,14
3,13,SA,28,TIJ,10,AWAY,18
3,14,POR,27,NOR,21,HOME,6
3,14,SA,17,KC,10,AWAY,7
3,14,CHI,14,TIJ,6,HOME,8
3,P,NOR,24,CHI,14,AWAY,10
3,P,SA,41,KC,9,HOME,32
3,U,SA,19,NOR,3,HOME,16
4,1,POR,22,NOR,21,HOME,1
4,1,KC,39,TIJ,14,HOME,25
4,1,SA,23,CHI,12,HOME,11
4,2,POR,16,TIJ,14,HOME,2
4,2,NOR,27,CHI,9,AWAY,18
4,2,SA,29,KC,13,HOME,16
4,3,NOR,17,SA,14,HOME,3
4,3,CHI,33,POR,3,HOME,30
4,3,KC,29,TIJ,6,AWAY,23
4,4,POR,24,NOR,13,AWAY,11
4,4,CHI,27,KC,6,HOME,21
4,4,SA,27,TIJ,13,HOME,14
4,5,CHI,31,POR,9,AWAY,22
4,5,NOR,20,TIJ,17,AWAY,3
4,5,KC,23,SA,16,HOME,7
4,6,NOR,23,CHI,7,HOME,16
4,6,POR,10,KC,3,AWAY,7
4,6,TIJ,23,SA,3,HOME,20
4,7,POR,42,CHI,7,HOME,35
4,7,SA,13,KC,3,AWAY,10
4,7,TIJ,37,NOR,10,HOME,27
4,8,NOR,22,CHI,13,AWAY,9
4,8,TIJ,23,KC,7,HOME,16
4,8,POR,10,SA,7,AWAY,3
4,9,POR,24,NOR,16,AWAY,8
4,9,TIJ,28,CHI,16,HOME,12
4,9,SA,45,KC,10,HOME,35
4,10,CHI,17,POR,12,HOME,5
4,10,KC,7,NOR,7,TIE,0
4,10,TIJ,23,SA,7,AWAY,16
4,11,POR,16,NOR,10,HOME,6
4,11,SA,29,CHI,16,AWAY,13
4,11,TIJ,24,KC,21,AWAY,3
4,12,POR,23,SA,17,HOME,6
4,12,NOR,13,KC,7,HOME,6
4,12,TIJ,20,CHI,10,AWAY,10
4,13,POR,16,KC,10,HOME,6
4,13,CHI,40,NOR,3,AWAY,37
4,13,SA,16,TIJ,10,AWAY,6
4,14,KC,20,CHI,7,HOME,13
4,14,POR,27,TIJ,17,AWAY,10
4,14,NOR,21,SA,10,AWAY,11
4,P,POR,31,NOR,0,HOME,31
4,P,SA,24,TIJ,7,HOME,17
4,U,POR,27,SA,14,HOME,13
5,1,SA,27,PB,23,HOME,4
5,1,NOR,23,POR,17,HOME,6
5,1,TIJ,10,KC,0,HOME,10
5,2,TIJ,22,PB,13,HOME,9
5,2,KC,20,POR,13,HOME,7
5,2,SA,21,NOR,6,HOME,15
5,3,SA,23,TIJ,16,AWAY,7
5,3,POR,24,PB,16,AWAY,8
5,3,KC,34,NOR,21,AWAY,13
5,4,SA,15,PB,10,AWAY,5
5,4,POR,17,TIJ,10,HOME,7
5,4,NOR,13,KC,10,HOME,3
5,5,KC,24,SA,19,HOME,5
5,5,TIJ,24,PB,24,TIE,0
5,5,NOR,17,POR,9,AWAY,8
5,6,PB,36,NOR,14,AWAY,22
5,6,TIJ,19,SA,13,AWAY,6
5,6,POR,30,KC,0,HOME,30
5,7,PB,47,KC,14,AWAY,33
5,7,POR,16,SA,7,HOME,9
5,7,NOR,31,TIJ,28,HOME,3
5,8,TIJ,20,POR,17,HOME,3
5,8,PB,41,NOR,0,HOME,41
5,8,SA,23,KC,10,HOME,13
5,9,PB,21,SA,6,AWAY,15
5,9,TIJ,23,KC,7,AWAY,16
5,9,POR,21,NOR,13,AWAY,8
5,10,PB,19,TIJ,0,AWAY,19
5,10,NOR,23,SA,10,HOME,13
5,10,POR,29,KC,12,AWAY,17
5,11,POR,17,PB,10,HOME,7
5,11,SA,19,TIJ,14,AWAY,5
5,11,NOR,12,KC,10,AWAY,2
5,12,PB,33,SA,10,HOME,23
5,12,TIJ,17,NOR,3,HOME,14
5,12,POR,9,KC,3,HOME,6
5,13,PB,20,TIJ,0,HOME,20
5,13,POR,24,SA,13,AWAY,11
5,13,KC,23,NOR,13,AWAY,10
5,14,TIJ,17,SA,7,AWAY,10
5,14,POR,17,NOR,13,HOME,4
5,14,PB,21,KC,7,HOME,14
5,P,PB,27,TIJ,3,HOME,24
5,P,POR,14,NOR,10,HOME,4
5,U,PB,17,POR,13,AWAY,4
6,1,POR,24,NOR,3,HOME,21
6,1,KC,37,TIJ,7,HOME,30
6,1,SA,20,PB,15,HOME,5
6,2,POR,26,NOR,3,AWAY,23
6,2,PB,10,KC,7,HOME,3
6,2,SA,30,TIJ,14,HOME,16
6,3,POR,24,PB,10,HOME,14
6,3,SA,14,KC,7,AWAY,7
6,3,NOR,30,TIJ,14,AWAY,16
6,4,POR,23,NOR,17,AWAY,6
6,4,TIJ,13,PB,10,HOME,3
6,4,KC,23,SA,20,AWAY,3
6,5,KC,24,PB,17,HOME,7
6,5,TIJ,20,POR,3,HOME,17
6,5,NOR,13,SA,10,AWAY,3
6,6,POR,31,NOR,10,HOME,21
6,6,SA,14,PB,3,AWAY,11
6,6,KC,28,TIJ,16,HOME,12
6,7,NOR,17,PB,13,HOME,4
6,7,KC,29,POR,7,HOME,22
6,7,SA,24,TIJ,17,AWAY,7
6,8,POR,26,TIJ,17,HOME,9
6,8,NOR,16,PB,3,AWAY,13
6,8,KC,29,SA,3,AWAY,26
6,9,PB,26,POR,9,HOME,17
6,9,KC,29,NOR,12,HOME,17
6,9,SA,24,TIJ,13,HOME,11
6,10,POR,7,PB,3,HOME,4
6,10,TIJ,19,NOR,7,AWAY,12
6,10,SA,27,KC,14,AWAY,13
6,11,NOR,9,SA,9,TIE,0
6,11,PB,16,POR,10,HOME,6
6,11,TIJ,19,KC,10,HOME,9
6,12,POR,27,KC,13,HOME,14
6,12,PB,17,NOR,6,AWAY,11
6,12,TIJ,20,SA,7,HOME,13
6,13,NOR,21,PB,7,AWAY,14
6,13,KC,23,TIJ,6,AWAY,17
6,13,POR,17,SA,3,AWAY,14
6,14,POR,20,SA,7,HOME,13
6,14,NOR,37,KC,20,HOME,17
6,14,PB,29,TIJ,21,HOME,8
6,P,SA,31,TIJ,11,HOME,20
6,P,KC,24,POR,17,AWAY,7
6,U,SA,23,KC,13,AWAY,10
7,1,PB,13,SA,10,AWAY,3
7,1,POR,30,KC,11,AWAY,19
7,1,TIJ,38,NOR,9,HOME,29
7,2,TIJ,14,PB,3,HOME,11
7,2,POR,13,NOR,7,AWAY,6
7,2,KC,28,SA,21,AWAY,7
7,3,SA,24,TIJ,14,AWAY,10
7,3,POR,24,PB,7,AWAY,17
7,3,NOR,27,KC,20,HOME,7
7,4,SA,34,PB,14,AWAY,20
7,4,POR,34,TIJ,17,HOME,17
7,4,KC,42,NOR,14,HOME,28
7,5,NOR,24,SA,12,HOME,12
7,5,TIJ,42,PB,14,AWAY,28
7,5,POR,30,KC,26,HOME,4
7,6,KC,38,PB,10,HOME,28
7,6,TIJ,27,SA,24,AWAY,3
7,6,NOR,20,POR,14,AWAY,6
7,7,NOR,27,PB,16,HOME,11
7,7,POR,37,SA,7,HOME,30
7,7,KC,44,TIJ,3,HOME,41
7,8,POR,31,TIJ,17,AWAY,14
7,8,PB,30,KC,27,HOME,3
7,8,NOR,24,SA,10,AWAY,14
7,9,SA,21,PB,13,HOME,8
7,9,NOR,27,TIJ,14,HOME,13
7,9,KC,23,POR,21,HOME,2
7,10,PB,31,TIJ,20,AWAY,11
7,10,KC,17,SA,0,HOME,17
7,10,POR,36,NOR,17,AWAY,19
7,11,POR,26,PB,7,HOME,19
7,11,TIJ,16,SA,14,HOME,2
7,11,KC,20,NOR,10,AWAY,10
7,12,SA,23,PB,13,AWAY,10
7,12,KC,30,TIJ,20,AWAY,10
7,12,POR,34,NOR,10,HOME,24
7,13,TIJ,13,PB,9,AWAY,4
7,13,POR,19,SA,3,AWAY,16
7,13,KC,28,NOR,7,HOME,21
7,14,SA,19,TIJ,10,HOME,9
7,14,POR,44,KC,38,HOME,6
7,14,PB,27,NOR,7,HOME,20
7,P,TIJ,22,SA,10,HOME,12
7,P,POR,19,KC,13,HOME,6
7,U,POR,24,TIJ,17,HOME,7
8,1,SA,27,PB,17,HOME,10
8,1,POR,47,NOR,10,AWAY,37
8,1,TIJ,27,KC,10,HOME,17
8,2,TIJ,21,PB,19,HOME,2
8,2,KC,17,POR,7,HOME,10
8,2,SA,24,NOR,6,HOME,18
8,3,SA,30,TIJ,29,AWAY,1
8,3,PB,15,POR,12,HOME,3
8,3,NOR,21,KC,10,AWAY,11
8,4,SA,30,PB,20,AWAY,10
8,4,TIJ,12,POR,9,AWAY,3
8,4,NOR,24,KC,17,HOME,7
8,5,KC,23,SA,16,HOME,7
8,5,PB,32,TIJ,6,HOME,26
8,5,POR,26,NOR,16,HOME,10
8,6,PB,30,NOR,19,AWAY,11
8,6,TIJ,20,SA,16,AWAY,4
8,6,KC,19,POR,14,AWAY,5
8,7,KC,13,PB,7,HOME,6
8,7,POR,33,SA,21,HOME,12
8,7,TIJ,26,NOR,6,AWAY,20
8,8,POR,27,TIJ,20,AWAY,7
8,8,NOR,16,PB,7,AWAY,9
8,8,SA,16,KC,13,HOME,3
8,9,SA,38,PB,35,HOME,3
8,9,KC,10,TIJ,7,HOME,3
8,9,NOR,28,POR,13,HOME,15
8,10,TIJ,24,PB,3,HOME,21
8,10,SA,38,NOR,15,AWAY,23
8,10,KC,23,POR,22,HOME,1
8,11,POR,13,PB,0,HOME,13
8,11,SA,31,TIJ,13,AWAY,18
8,11,KC,27,NOR,6,HOME,21
8,12,SA,25,PB,10,AWAY,15
8,12,TIJ,24,NOR,7,HOME,17
8,12,KC,20,POR,17,AWAY,3
8,13,TIJ,30,PB,9,AWAY,21
8,13,SA,27,POR,0,HOME,27
8,13,KC,21,NOR,18,AWAY,3
8,14,SA,24,TIJ,7,HOME,17
8,14,POR,17,NOR,10,HOME,7
8,14,KC,24,PB,20,AWAY,4
8,P,TIJ,14,SA,13,AWAY,1
8,P,KC,24,POR,13,HOME,11
8,U,TIJ,21,KC,20,AWAY,1
9,1,SA,23,PB,23,TIE,0
9,1,TIJ,20,POR,14,AWAY,6
9,1,KC,44,NOR,20,AWAY,24
9,2,TIJ,30,PB,24,AWAY,6
9,2,KC,33,SA,13,HOME,20
9,2,POR,17,NOR,14,AWAY,3
9,3,NOR,28,PB,20,HOME,8
9,3,TIJ,20,SA,17,AWAY,3
9,3,POR,27,KC,14,AWAY,13
9,4,SA,34,PB,14,HOME,20
9,4,TIJ,31,NOR,21,HOME,10
9,4,POR,24,KC,14,HOME,10
9,5,TIJ,27,PB,23,HOME,4
9,5,SA,19,POR,13,HOME,6
9,5,KC,23,NOR,13,HOME,10
9,6,KC,17,PB,10,AWAY,7
9,6,SA,34,TIJ,21,AWAY,13
9,6,POR,57,NOR,24,HOME,33
9,7,PB,27,POR,24,HOME,3
9,7,SA,23,NOR,20,HOME,3
9,7,TIJ,27,KC,21,HOME,6
9,8,KC,16,PB,0,HOME,16
9,8,POR,17,SA,3,HOME,14
9,8,NOR,30,TIJ,27,HOME,3
9,9,SA,23,PB,3,AWAY,20
9,9,POR,27,TIJ,19,AWAY,8
9,9,NOR,38,KC,31,HOME,7
9,10,TIJ,23,PB,21,AWAY,2
9,10,KC,37,SA,13,AWAY,24
9,10,NOR,21,POR,13,HOME,8
9,11,NOR,41,PB,7,AWAY,34
9,11,SA,21,TIJ,13,HOME,8
9,11,KC,21,POR,10,HOME,11
9,12,SA,21,PB,17,HOME,4
9,12,TIJ,24,KC,10,AWAY,14
9,12,POR,24,NOR,19,HOME,5
9,13,TIJ,44,PB,10,HOME,34
9,13,KC,30,POR,17,AWAY,13
9,13,SA,26,NOR,23,AWAY,3
9,14,TIJ,20,SA,13,HOME,7
9,14,KC,16,NOR,3,HOME,13
9,14,POR,46,PB,10,HOME,36
9,P,TIJ,24,SA,19,HOME,5
9,P,POR,26,KC,20,AWAY,6
9,U,TIJ,30,POR,24,HOME,6
10,1,SA,22,TIJ,19,HOME,3
10,1,POR,24,NOR,17,AWAY,7
10,1,KC,51,PB,3,HOME,48
10,2,SA,14,PB,7,HOME,7
10,2,NOR,27,KC,17,HOME,10
10,2,POR,13,TIJ,7,HOME,6
10,3,TIJ,21,PB,10,HOME,11
10,3,SA,20,NOR,13,AWAY,7
10,3,POR,45,KC,21,HOME,24
10,4,TIJ,27,SA,17,HOME,10
10,4,PB,27,NOR,23,HOME,4
10,4,KC,13,POR,9,HOME,4
10,5,TIJ,23,KC,20,HOME,3
10,5,SA,15,PB,6,AWAY,9
10,5,POR,37,NOR,10,HOME,27
10,6,POR,27,SA,10,AWAY,17
10,6,TIJ,31,PB,22,AWAY,9
10,6,KC,16,NOR,13,HOME,3
10,7,SA,31,KC,3,HOME,28
10,7,TIJ,31,NOR,19,HOME,12
10,7,POR,20,PB,17,AWAY,3
10,8,NOR,20,PB,7,HOME,13
10,8,SA,17,POR,10,AWAY,7
10,8,KC,34,TIJ,20,HOME,14
10,9,SA,19,TIJ,16,HOME,3
10,9,PB,35,KC,7,HOME,28
10,9,NOR,23,POR,14,HOME,9
10,10,PB,20,SA,14,AWAY,6
10,10,TIJ,34,POR,9,HOME,25
10,10,NOR,38,KC,17,HOME,21
10,11,NOR,24,SA,13,AWAY,11
10,11,TIJ,43,PB,0,HOME,43
10,11,POR,47,KC,14,HOME,33
10,12,TIJ,27,SA,24,HOME,3
10,12,POR,37,PB,21,HOME,16
10,12,KC,31,NOR,27,HOME,4
10,13,SA,29,PB,7,AWAY,22
10,13,TIJ,35,NOR,15,AWAY,20
10,13,POR,28,KC,10,HOME,18
10,14,TIJ,24,PB,3,AWAY,21
10,14,SA,23,KC,17,AWAY,6
10,14,NOR,27,POR,26,AWAY,1
10,P,TIJ,34,SA,3,HOME,31
10,P,POR,21,NOR,18,HOME,3
10,U,TIJ,37,POR,7,HOME,30
11,1,POR,24,NOR,10,HOME,14
11,1,PB,31,SA,17,HOME,14
11,1,KC,47,TIJ,20,AWAY,27
11,2,POR,30,KC,14,HOME,16
11,2,PB,31,TIJ,26,HOME,5
11,2,SA,24,NOR,7,HOME,17
11,3,KC,32,NOR,21,AWAY,11
11,3,POR,24,PB,7,AWAY,17
11,3,SA,28,TIJ,21,HOME,7
11,4,POR,26,NOR,10,AWAY,16
11,4,KC,34,PB,17,HOME,17
11,4,TIJ,28,SA,20,HOME,8
11,5,TIJ,19,NOR,10,AWAY,9
11,5,POR,27,KC,3,AWAY,24
11,5,SA,29,PB,14,HOME,15
11,6,SA,45,POR,31,AWAY,14
11,6,KC,34,NOR,6,HOME,28
11,6,PB,28,TIJ,21,AWAY,7
11,7,POR,24,TIJ,7,HOME,17
11,7,NOR,26,PB,15,HOME,11
11,7,SA,35,KC,13,AWAY,22
11,8,KC,36,PB,7,AWAY,29
11,8,POR,27,SA,10,AWAY,17
11,8,NOR,16,TIJ,14,AWAY,2
11,9,POR,21,NOR,10,HOME,11
11,9,KC,19,TIJ,6,HOME,13
11,9,SA,30,PB,13,AWAY,17
11,10,POR,20,KC,14,HOME,6
11,10,SA,34,NOR,6,AWAY,28
11,10,TIJ,27,PB,17,AWAY,10
11,11,POR,24,PB,10,HOME,14
11,11,KC,28,NOR,13,AWAY,15
11,11,TIJ,26,SA,12,AWAY,14
11,12,POR,30,NOR,6,AWAY,24
11,12,KC,20,SA,16,AWAY,4
11,12,TIJ,16,PB,6,HOME,10
11,13,POR,38,KC,28,AWAY,10
11,13,PB,27,NOR,0,HOME,27
11,13,SA,17,TIJ,10,AWAY,7
11,14,KC,38,NOR,5,HOME,33
11,14,SA,35,PB,14,HOME,21
11,14,POR,31,TIJ,7,AWAY,24
11,P,TIJ,31,SA,20,AWAY,11
11,P,POR,23,KC,6,HOME,17
11,U,POR,13,TIJ,6,HOME,7
12,1,POR,30,NOR,23,HOME,7
12,1,TIJ,15,PB,10,AWAY,5
12,1,SA,27,KC,7,HOME,20
12,2,KC,13,POR,10,AWAY,3
12,2,PB,30,SA,16,HOME,14
12,2,TIJ,21,NOR,10,HOME,11
12,3,KC,27,NOR,21,AWAY,6
12,3,POR,28,PB,7,AWAY,21
12,3,TIJ,31,SA,27,HOME,4
12,4,NOR,35,POR,30,HOME,5
12,4,KC,34,PB,10,HOME,24
12,4,TIJ,31,SA,24,AWAY,7
12,5,NOR,37,SA,10,HOME,27
12,5,POR,47,KC,14,AWAY,33
12,5,TIJ,34,PB,7,HOME,27
12,6,POR,13,TIJ,10,HOME,3
12,6,KC,42,NOR,14,HOME,28
12,6,SA,52,PB,13,HOME,39
12,7,POR,17,SA,14,HOME,3
12,7,PB,19,NOR,3,AWAY,16
12,7,KC,20,TIJ,10,HOME,10
12,8,KC,24,PB,16,AWAY,8
12,8,TIJ,25,POR,21,HOME,4
12,8,SA,27,NOR,10,HOME,17
12,9,NOR,14,POR,10,AWAY,4
12,9,SA,24,KC,6,AWAY,18
12,9,TIJ,23,PB,17,AWAY,6
12,10,POR,54,KC,17,HOME,37
12,10,NOR,23,TIJ,10,HOME,13
12,10,PB,24,SA,13,HOME,11
12,11,POR,23,PB,16,HOME,7
12,11,KC,33,NOR,7,AWAY,26
12,11,TIJ,28,SA,17,HOME,11
12,12,POR,17,NOR,7,AWAY,10
12,12,KC,24,TIJ,13,AWAY,11
12,12,PB,21,SA,16,AWAY,5
12,13,KC,16,POR,14,HOME,2
12,13,NOR,28,PB,13,AWAY,15
12,13,SA,33,TIJ,9,HOME,24
12,14,KC,23,NOR,6,HOME,17
12,14,TIJ,29,PB,10,HOME,19
12,14,POR,45,SA,13,AWAY,32
12,P,SA,13,TIJ,7,AWAY,6
12,P,KC,21,POR,16,HOME,5
12,U,KC,37,SA,7,HOME,30
13,1,SA,30,TIJ,13,AWAY,17
13,1,NOR,30,PB,19,HOME,11
13,1,POR,27,KC,9,AWAY,18
13,2,KC,35,NOR,20,HOME,15
13,2,SA,30,POR,12,AWAY,18
13,2,TIJ,29,PB,5,HOME,24
13,3,KC,26,TIJ,10,HOME,16
13,3,POR,25,NOR,20,HOME,5
13,3,SA,24,PB,7,HOME,17
13,4,SA,22,TIJ,17,HOME,5
13,4,KC,34,PB,16,AWAY,18
13,4,POR,34,NOR,24,AWAY,10
13,5,PB,26,TIJ,17,HOME,9
13,5,NOR,20,SA,17,AWAY,3
13,5,POR,22,KC,10,HOME,12
13,6,KC,45,NOR,14,AWAY,31
13,6,TIJ,17,POR,14,HOME,3
13,6,SA,26,PB,23,AWAY,3
13,7,TIJ,44,NOR,16,HOME,28
13,7,SA,17,KC,7,HOME,10
13,7,PB,30,POR,14,HOME,16
13,8,PB,24,KC,13,AWAY,11
13,8,POR,51,TIJ,7,HOME,44
13,8,SA,20,NOR,13,AWAY,7
13,9,SA,31,TIJ,24,AWAY,7
13,9,PB,28,NOR,3,HOME,25
13,9,KC,13,POR,6,HOME,7
13,10,KC,26,NOR,21,HOME,5
13,10,SA,44,POR,0,HOME,44
13,10,TIJ,30,PB,6,HOME,24
13,11,TIJ,23,KC,17,HOME,6
13,11,SA,24,PB,7,HOME,17
13,11,POR,7,NOR,3,HOME,4
13,12,KC,26,NOR,15,AWAY,11
13,12,POR,16,PB,7,HOME,9
13,12,TIJ,21,SA,20,AWAY,1
13,13,TIJ,14,PB,10,AWAY,4
13,13,KC,16,SA,10,HOME,6
13,13,POR,21,NOR,16,AWAY,5
13,14,NOR,24,TIJ,17,HOME,7
13,14,SA,22,PB,13,AWAY,9
13,14,KC,17,POR,10,AWAY,7
13,P,TIJ,37,SA,10,AWAY,27
13,P,KC,21,POR,10,HOME,11
13,U,TIJ,30,KC,27,AWAY,3
14,1,SA,29,PB,24,AWAY,5
14,1,POR,41,TIJ,0,HOME,41
14,1,NOR,35,KC,13,HOME,22
14,2,TIJ,16,PB,6,AWAY,10
14,2,SA,17,KC,8,AWAY,9
14,2,NOR,20,POR,17,HOME,3
14,3,NOR,25,PB,7,HOME,18
14,3,SA,33,TIJ,13,HOME,20
14,3,POR,28,KC,13,AWAY,15
14,4,SA,42,PB,0,HOME,42
14,4,TIJ,37,NOR,28,HOME,9
14,4,POR,29,KC,17,HOME,12
14,5,PB,26,TIJ,20,AWAY,6
