Season,Week,Team_won,FinalScore_won,Team_lost,FinalScore_lost,WinType,PointDiff
1,1,YKW,27,SJS,14,HOME,13
1,1,AZ,27,OCO,12,AWAY,15
1,1,COL,23,BAL,20,HOME,3
1,2,OCO,13,BAL,10,AWAY,3
1,2,SJS,24,AZ,10,HOME,14
1,2,COL,13,YKW,10,HOME,3
1,3,AZ,21,BAL,13,AWAY,8
1,3,OCO,23,SJS,10,HOME,13
1,3,COL,20,YKW,16,AWAY,4
1,4,BAL,39,COL,24,AWAY,15
1,4,OCO,17,SJS,6,AWY,11
1,4,AZ,14,YKW,13,HOME,1
1,5,BAL,30,SJS,17,HOME,13
1,5,COL,30,OCO,16,HOME,14
1,5,YKW,27,AZ,21,HOME,6
1,6,COL,27,BAL,21,AWAY,6
1,6,AZ,23,SJS,3,HOME,20
1,6,YKW,16,OCO,13,HOME,3
1,7,COL,31,BAL,7,HOME,24
1,7,OCO,24,YKW,0,HOME,24
1,7,AZ,20,SJS,12,HOME,8
1,8,YKW,29,COL,7,HOME,22
1,8,OCO,34,SJS,7,HOME,27
1,8,BAL,34,AZ,31,AWAY,3
1,9,BAL,17,YKW,12,HOME,5
1,9,AZ,19,OCO,7,HOME,12
1,9,SJS,30,COL,17,AWAY,13
1,10,YKW,40,BAL,20,HOME,20
1,10,AZ,27,SJS,14,AWAY,13
1,10,OCO,13,COL,6,HOME,7
1,11,YKW,19,BAL,10,HOME,9
1,11,OCO,26,SJS,9,AWAY,17
1,11,COL,19,AZ,10,HOME,9
1,12,YKW,17,BAL,13,AWAY,4
1,12,SJS,17,COL,13,HOME,4
1,12,AZ,23,OCO,3,HOME,20
1,13,AZ,15,COL,0,HOME,15
1,13,YKW,20,SJS,19,AWAY,1
1,13,OCO,24,BAL,17,HOME,7
1,14,COL,20,YKW,10,HOME,10
1,14,SJS,31,BAL,3,HOME,28
1,14,OCO,23,AZ,16,HOME,7
1,P,COL,13,YKW,6,HOME,7
1,P,AZ,36,OCO,13,HOME,23
1,U,AZ,29,COL,6,HOME,23
2,1,YKW,27,COL,17,HOME,10
2,1,SJS,31,PHI,16,HOME,15
2,1,AZ,17,OCO,9,HOME,8
2,1,LV,16,BAL,10,HOME,6
2,2,BAL,15,OCO,7,HOME,8
2,2,AZ,23,PHI,14,HOME,9
2,2,YKW,18,SJS,16,HOME,2
2,2,COL,33,LV,3,AWAY,30
2,3,COL,17,YKW,3,HOME,14
2,3,OCO,22,PHI,13,HOME,9
2,3,AZ,24,LV,15,AWAY,9
2,3,SJS,24,BAL,23,HOME,1
2,4,SJS,23,OCO,19,HOME,4
2,4,COL,13,AZ,12,HOME,1
2,4,BAL,30,PHI,14,AWAY,16
2,4,YKW,17,LV,7,AWAY,10
2,5,OCO,19,LV,10,HOME,9
2,5,BAL,23,SJS,20,HOME,3
2,5,PHI,18,COL,14,HOME,4
2,5,AZ,21,YKW,10,HOME,11
2,6,BAL,16,LV,13,HOME,3
2,6,YKW,40,SJS,24,AWAY,16
2,6,AZ,28,COL,23,HOME,5
2,6,OCO,13,PHI,3,AWAY,10
2,7,BAL,37,YKW,19,HOME,18
2,7,COL,21,SJS,9,HOME,12
2,7,AZ,26,OCO,20,AWAY,6
2,7,PHI,20,LV,13,HOME,7
2,8,LV,30,SJS,20,AWAY,10
2,8,BAL,13,AZ,10,HOME,3
2,8,PHI,21,YKW,6,HOME,15
2,8,OCO,19,COL,3,HOME,16
2,9,BAL,28,COL,9,HOME,19
2,9,YKW,39,LV,28,HOME,11
2,9,OCO,27,SJS,13,HOME,14
2,10,YKW,24,BAL,17,HOME,7
2,10,COL,17,OCO,10,HOME,7
2,10,AZ,65,SJS,0,HOME,65
2,10,PHI,17,LV,13,AWAY,4
2,11,YKW,35,PHI,14,HOME,21
2,11,AZ,27,BAL,9,HOME,18
2,11,OCO,37,LV,26,AWAY,11
2,11,COL,14,SJS,6,AWAY,8
2,12,BAL,27,PHI,24,HOME,3
2,12,LV,23,COL,17,AWAY,6
2,12,AZ,26,SJS,17,AWAY,9
2,12,OCO,21,YKW,10,HOME,11
2,13,COL,27,PHI,20,HOME,7
2,13,AZ,27,YKW,19,AWAY,8
2,13,SJS,23,LV,7,AWAY,16
2,13,OCO,20,BAL,10,HOME,10
2,14,COL,43,BAL,10,HOME,33
2,14,AZ,20,PHI,6,AWAY,14
2,14,YKW,33,OCO,28,HOME,5
2,15,AZ,43,LV,7,HOME,36
2,15,PHI,45,SJS,7,HOME,38
2,P,BAL,16,YKW,14,HOME,2
2,P,AZ,17,OCO,13,HOME,4
2,U,AZ,33,BAL,6,HOME,27
3,1,BAL,24,YKW,20,HOME,4
3,1,AZ,32,SJS,3,HOME,29
3,1,COL,14,LV,10,HOME,4
3,1,OCO,55,PHI,10,HOME,45
3,2,AZ,22,PHI,17,AWAY,5
3,2,SJS,19,YKW,18,HOME,1
3,2,BAL,21,LV,16,AWAY,5
3,2,OCO,34,COL,6,HOME,28
3,3,BAL,28,COL,6,AWAY,22
3,3,AZ,38,LV,17,HOME,21
3,3,YKW,34,OCO,9,HOME,25
3,3,SJS,21,PHI,21,TIE,0
3,4,YKW,26,LV,20,AWAY,6
3,4,AZ,32,COL,0,HOME,32
3,4,BAL,13,PHI,10,HOME,3
3,4,SJS,25,OCO,24,HOME,1
3,5,PHI,35,YKW,22,HOME,13
3,5,AZ,28,OCO,21,AWAY,7
3,5,SJS,40,COL,0,HOME,40
3,5,BAL,30,LV,7,HOME,23
3,6,AZ,48,PHI,6,HOME,42
3,6,BAL,20,SJS,17,AWAY,3
3,6,OCO,45,LV,10,HOME,35
3,6,YKW,24,COL,10,HOME,14
3,7,AZ,27,COL,10,AWAY,17
3,7,PHI,30,LV,10,HOME,20
3,7,OCO,38,SJS,10,HOME,28
3,7,YKW,20,BAL,12,HOME,8
3,8,SJS,42,LV,7,AWAY,35
3,8,AZ,32,YKW,22,AWAY,10
3,8,PHI,40,COL,20,AWAY,20
3,8,OCO,55,BAL,23,AWAY,32
3,9,AZ,23,BAL,12,AWAY,11
3,9,COL,16,YKW,7,HOME,9
3,9,OCO,29,LV,21,AWAY,8
3,9,PHI,28,SJS,17,HOME,11
3,10,AZ,24,OCO,7,HOME,17
3,10,YKW,17,PHI,14,HOME,3
3,10,LV,34,SJS,31,AWAY,3
3,10,BAL,47,COL,0,HOME,47
3,11,OCO,30,COL,24,AWAY,6
3,11,BAL,24,SJS,17,HOME,7
3,11,AZ,23,YKW,12,HOME,11
3,11,PHI,33,LV,20,AWAY,13
3,12,BAL,26,AZ,23,AWAY,3
3,12,PHI,18,OCO,17,HOME,1
3,12,LV,14,COL,10,HOME,4
3,12,SJS,31,YKW,28,AWAY,3
3,13,PHI,33,COL,32,HOME,1
3,13,YKW,50,LV,13,HOME,37
3,13,OCO,25,BAL,23,HOME,2
3,13,AZ,30,SJS,13,AWAY,17
3,14,AZ,45,LV,0,AWAY,45
3,14,PHI,31,BAL,14,HOME,17
3,14,YKW,32,OCO,17,AWAY,15
3,14,COL,34,SJS,6,HOME,28
3,P,BAL,34,PHI,3,HOME,31
3,P,AZ,27,OCO,7,HOME,20
3,U,AZ,49,BAL,12,HOME,37
4,1,AZ,33,OCO,27,AWAY,6
4,1,BAL,20,YKW,17,HOME,3
4,1,SJS,49,COL,20,HOME,29
4,1,PHI,27,LV,10,HOME,17
4,2,SJS,31,BAL,23,AWAY,8
4,2,AZ,48,PHI,10,AWAY,38
4,2,LV,27,COL,13,AWAY,14
4,2,YKW,20,OCO,17,AWAY,3
4,3,AZ,17,SJS,9,AWAY,8
4,3,BAL,48,COL,17,HOME,31
4,3,OCO,21,PHI,13,HOME,8
4,3,YKW,35,LV,20,AWAY,15
4,4,LV,30,COL,14,HOME,16
4,4,BAL,17,SJS,13,AWAY,4
4,4,AZ,33,PHI,6,HOME,27
4,4,OCO,35,YKW,20,AWAY,15
4,5,BAL,31,AZ,27,HOME,4
4,5,OCO,59,LV,3,HOME,56
4,5,PHI,26,COL,14,HOME,12
4,5,SJS,38,YKW,27,HOME,11
4,6,YKW,12,AZ,10,HOME,2
4,6,BAL,19,LV,13,AWAY,6
4,6,OCO,37,COL,23,AWAY,14
4,6,SJS,26,PHI,6,AWAY,20
4,7,LV,31,PHI,19,HOME,12
4,7,SJS,33,COL,14,AWAY,19
