Season,Week,Team_won,FinalScore_won,Team_lost,FinalScore_lost,WinType,PointDiff
,,,7,,1,IMPOSSIBLE,6
,,,5,,1,IMPOSSIBLE,4
,,,4,,1,IMPOSSIBLE,3
,,,3,,1,IMPOSSIBLE,2
,,,2,,1,IMPOSSIBLE,1
,,,1,,1,IMPOSSIBLE,0
,,,0,,1,IMPOSSIBLE,-1
,,,1,,0,IMPOSSIBLE,1
,,,0,,2,IMPOSSIBLE,-2
,,,1,,2,IMPOSSIBLE,-1
,,,0,,3,IMPOSSIBLE,-3
,,,1,,3,IMPOSSIBLE,-2
,,,2,,3,IMPOSSIBLE,-1
,,,0,,4,IMPOSSIBLE,-4
,,,1,,4,IMPOSSIBLE,-3
,,,2,,4,IMPOSSIBLE,-2
,,,3,,4,IMPOSSIBLE,-1
,,,0,,5,IMPOSSIBLE,-5
,,,1,,5,IMPOSSIBLE,-4
,,,2,,5,IMPOSSIBLE,-3
,,,3,,5,IMPOSSIBLE,-2
,,,4,,5,IMPOSSIBLE,-1
,,,0,,6,IMPOSSIBLE,-6
,,,1,,6,IMPOSSIBLE,-5
,,,2,,6,IMPOSSIBLE,-4
,,,3,,6,IMPOSSIBLE,-3
,,,4,,6,IMPOSSIBLE,-2
,,,5,,6,IMPOSSIBLE,-1
,,,0,,7,IMPOSSIBLE,-7
,,,1,,7,IMPOSSIBLE,-6
,,,2,,7,IMPOSSIBLE,-5
,,,3,,7,IMPOSSIBLE,-4
,,,4,,7,IMPOSSIBLE,-3
,,,5,,7,IMPOSSIBLE,-2
,,,6,,7,IMPOSSIBLE,-1
,,,0,,8,IMPOSSIBLE,-8
,,,1,,8,IMPOSSIBLE,-7
,,,2,,8,IMPOSSIBLE,-6
,,,3,,8,IMPOSSIBLE,-5
,,,4,,8,IMPOSSIBLE,-4
,,,5,,8,IMPOSSIBLE,-3
,,,6,,8,IMPOSSIBLE,-2
,,,7,,8,IMPOSSIBLE,-1
,,,0,,9,IMPOSSIBLE,-9
,,,1,,9,IMPOSSIBLE,-8
,,,2,,9,IMPOSSIBLE,-7
,,,3,,9,IMPOSSIBLE,-6
,,,4,,9,IMPOSSIBLE,-5
,,,5,,9,IMPOSSIBLE,-4
,,,6,,9,IMPOSSIBLE,-3
,,,7,,9,IMPOSSIBLE,-2
,,,8,,9,IMPOSSIBLE,-1
,,,0,,10,IMPOSSIBLE,-10
,,,1,,10,IMPOSSIBLE,-9
,,,2,,10,IMPOSSIBLE,-8
,,,3,,10,IMPOSSIBLE,-7
,,,4,,10,IMPOSSIBLE,-6
,,,5,,10,IMPOSSIBLE,-5
,,,6,,10,IMPOSSIBLE,-4
,,,7,,10,IMPOSSIBLE,-3
,,,8,,10,IMPOSSIBLE,-2
,,,9,,10,IMPOSSIBLE,-1
,,,0,,11,IMPOSSIBLE,-11
,,,1,,11,IMPOSSIBLE,-10
,,,2,,11,IMPOSSIBLE,-9
,,,3,,11,IMPOSSIBLE,-8
,,,4,,11,IMPOSSIBLE,-7
,,,5,,11,IMPOSSIBLE,-6
,,,6,,11,IMPOSSIBLE,-5
,,,7,,11,IMPOSSIBLE,-4
,,,8,,11,IMPOSSIBLE,-3
,,,9,,11,IMPOSSIBLE,-2
,,,10,,11,IMPOSSIBLE,-1
,,,0,,12,IMPOSSIBLE,-12
,,,1,,12,IMPOSSIBLE,-11
,,,2,,12,IMPOSSIBLE,-10
,,,3,,12,IMPOSSIBLE,-9
,,,4,,12,IMPOSSIBLE,-8
,,,5,,12,IMPOSSIBLE,-7
,,,6,,12,IMPOSSIBLE,-6
,,,7,,12,IMPOSSIBLE,-5
,,,8,,12,IMPOSSIBLE,-4
,,,9,,12,IMPOSSIBLE,-3
,,,10,,12,IMPOSSIBLE,-2
,,,11,,12,IMPOSSIBLE,-1
,,,0,,13,IMPOSSIBLE,-13
,,,1,,13,IMPOSSIBLE,-12
,,,2,,13,IMPOSSIBLE,-11
,,,3,,13,IMPOSSIBLE,-10
,,,4,,13,IMPOSSIBLE,-9
,,,5,,13,IMPOSSIBLE,-8
,,,6,,13,IMPOSSIBLE,-7
,,,7,,13,IMPOSSIBLE,-6
,,,8,,13,IMPOSSIBLE,-5
,,,9,,13,IMPOSSIBLE,-4
,,,10,,13,IMPOSSIBLE,-3
,,,11,,13,IMPOSSIBLE,-2
,,,12,,13,IMPOSSIBLE,-1
,,,0,,14,IMPOSSIBLE,-14
,,,1,,14,IMPOSSIBLE,-13
,,,2,,14,IMPOSSIBLE,-12
,,,3,,14,IMPOSSIBLE,-11
,,,4,,14,IMPOSSIBLE,-10
,,,5,,14,IMPOSSIBLE,-9
,,,6,,14,IMPOSSIBLE,-8
,,,7,,14,IMPOSSIBLE,-7
,,,8,,14,IMPOSSIBLE,-6
,,,9,,14,IMPOSSIBLE,-5
,,,10,,14,IMPOSSIBLE,-4
,,,11,,14,IMPOSSIBLE,-3
,,,12,,14,IMPOSSIBLE,-2
,,,13,,14,IMPOSSIBLE,-1
,,,0,,15,IMPOSSIBLE,-15
,,,1,,15,IMPOSSIBLE,-14
,,,2,,15,IMPOSSIBLE,-13
,,,3,,15,IMPOSSIBLE,-12
,,,4,,15,IMPOSSIBLE,-11
,,,5,,15,IMPOSSIBLE,-10
,,,6,,15,IMPOSSIBLE,-9
,,,7,,15,IMPOSSIBLE,-8
,,,8,,15,IMPOSSIBLE,-7
,,,9,,15,IMPOSSIBLE,-6
,,,10,,15,IMPOSSIBLE,-5
,,,11,,15,IMPOSSIBLE,-4
,,,12,,15,IMPOSSIBLE,-3
,,,13,,15,IMPOSSIBLE,-2
,,,14,,15,IMPOSSIBLE,-1
,,,0,,16,IMPOSSIBLE,-16
,,,1,,16,IMPOSSIBLE,-15
,,,2,,16,IMPOSSIBLE,-14
,,,3,,16,IMPOSSIBLE,-13
,,,4,,16,IMPOSSIBLE,-12
,,,5,,16,IMPOSSIBLE,-11
,,,6,,16,IMPOSSIBLE,-10
,,,7,,16,IMPOSSIBLE,-9
,,,8,,16,IMPOSSIBLE,-8
,,,9,,16,IMPOSSIBLE,-7
,,,10,,16,IMPOSSIBLE,-6
,,,11,,16,IMPOSSIBLE,-5
,,,12,,16,IMPOSSIBLE,-4
,,,13,,16,IMPOSSIBLE,-3
,,,14,,16,IMPOSSIBLE,-2
,,,15,,16,IMPOSSIBLE,-1
,,,0,,17,IMPOSSIBLE,-17
,,,1,,17,IMPOSSIBLE,-16
,,,2,,17,IMPOSSIBLE,-15
,,,3,,17,IMPOSSIBLE,-14
,,,4,,17,IMPOSSIBLE,-13
,,,5,,17,IMPOSSIBLE,-12
,,,6,,17,IMPOSSIBLE,-11
,,,7,,17,IMPOSSIBLE,-10
,,,8,,17,IMPOSSIBLE,-9
,,,9,,17,IMPOSSIBLE,-8
